date,state,district,pincode,age_0_5,age_5_17,age_18_greater
26-10-2025,Assam,Barpeta,781317,3,5,0
26-10-2025,Assam,Barpeta,781321,1,2,0
26-10-2025,Assam,Biswanath,784178,0,1,0
26-10-2025,Assam,Bongaigaon,783380,2,1,0
26-10-2025,Assam,Bongaigaon,783392,0,1,0
26-10-2025,Assam,Cachar,788003,3,0,0
26-10-2025,Assam,Cachar,788013,2,1,0
26-10-2025,Assam,Cachar,788025,1,0,0
26-10-2025,Assam,Cachar,788031,1,1,0
26-10-2025,Assam,Cachar,788104,1,1,0
26-10-2025,Assam,Cachar,788116,0,1,0
26-10-2025,Assam,Cachar,788725,1,0,0
26-10-2025,Assam,Chirang,783385,1,1,0
26-10-2025,Assam,Darrang,784146,5,1,4
26-10-2025,Assam,Darrang,784522,0,1,0
26-10-2025,Assam,Darrang,784525,1,0,0
26-10-2025,Assam,Dhubri,783301,1,1,0
26-10-2025,Assam,Dibrugarh,786614,0,1,0
26-10-2025,Assam,Goalpara,783101,1,3,0
26-10-2025,Assam,Golaghat,785611,1,1,0
26-10-2025,Assam,Golaghat,785615,2,0,0
26-10-2025,Assam,Golaghat,785705,3,4,0
26-10-2025,Assam,Hojai,782439,5,0,0
26-10-2025,Assam,Hojai,782440,2,1,0
26-10-2025,Assam,Hojai,782446,5,1,0
26-10-2025,Assam,Jorhat,785001,1,1,0
26-10-2025,Assam,Jorhat,785108,0,1,0
26-10-2025,Assam,Jorhat,785636,1,0,0
26-10-2025,Assam,Kamrup,781103,1,0,0
26-10-2025,Assam,Kamrup,781123,1,1,1
26-10-2025,Assam,Kamrup,781135,1,1,0
26-10-2025,Assam,Kamrup,781350,0,1,0
26-10-2025,Assam,Kamrup,781354,4,2,0
26-10-2025,Assam,Kamrup,781364,2,0,0
26-10-2025,Assam,Kamrup,781381,0,2,0
26-10-2025,Assam,Kamrup Metro,781001,0,2,0
26-10-2025,Assam,Kamrup Metro,781012,0,1,0
26-10-2025,Assam,Kamrup Metro,781020,0,1,0
26-10-2025,Assam,Kamrup Metro,781025,0,2,2
26-10-2025,Assam,Kamrup Metro,781038,0,0,2
26-10-2025,Assam,Kamrup Metro,781171,1,2,0
26-10-2025,Assam,Karbi Anglong,782461,1,2,0
26-10-2025,Assam,Karimganj,788156,1,0,0
26-10-2025,Assam,Kokrajhar,783372,1,0,0
26-10-2025,Assam,Lakhimpur,787054,5,1,0
26-10-2025,Assam,Marigaon,782104,1,1,0
26-10-2025,Assam,Marigaon,782123,2,0,0
26-10-2025,Assam,Marigaon,782410,2,2,0
26-10-2025,Assam,Nagaon,782123,2,2,0
26-10-2025,Assam,Nagaon,782125,1,3,0
26-10-2025,Assam,Nagaon,782135,1,0,0
26-10-2025,Assam,Nagaon,782440,1,3,0
26-10-2025,Assam,Nagaon,782450,0,1,0
26-10-2025,Assam,Nalbari,781337,0,1,0
26-10-2025,Assam,Nalbari,781340,0,1,0
26-10-2025,Assam,Nalbari,781349,1,0,0
26-10-2025,Assam,Nalbari,781374,0,1,0
26-10-2025,Assam,Sibsagar,785662,1,1,0
26-10-2025,Assam,Sibsagar,785681,1,0,0
26-10-2025,Assam,Sibsagar,785685,2,0,0
26-10-2025,Assam,Sonitpur,784110,2,5,0
26-10-2025,Assam,Sonitpur,784178,2,0,0
26-10-2025,Assam,Sonitpur,784180,0,1,0
26-10-2025,Assam,Sonitpur,784182,0,1,0
26-10-2025,Assam,Sonitpur,784506,1,2,0
26-10-2025,Assam,South Salmara Mankachar,783127,1,0,0
26-10-2025,Assam,South Salmara Mankachar,783135,3,1,0
26-10-2025,Assam,Sribhumi,788737,0,1,0
26-10-2025,Assam,Tinsukia,786151,2,0,0
26-10-2025,Assam,Tinsukia,786154,0,2,0
26-10-2025,Assam,Tinsukia,786156,1,0,0
26-10-2025,Assam,Tinsukia,786160,0,1,0
26-10-2025,Assam,Tinsukia,786170,2,0,0
26-10-2025,West Bengal,South 24 Parganas,700088,1,0,0
26-10-2025,West Bengal,South 24 Parganas,700137,1,3,0
26-10-2025,West Bengal,South 24 Parganas,700138,1,0,0
26-10-2025,West Bengal,South 24 Parganas,700145,1,1,0
26-10-2025,West Bengal,South 24 Parganas,700150,0,1,0
26-10-2025,West Bengal,South 24 Parganas,743368,8,1,0
26-10-2025,West Bengal,South 24 Parganas,743372,5,2,0
26-10-2025,West Bengal,South 24 Parganas,743375,3,2,0
26-10-2025,West Bengal,South 24 Parganas,743609,6,1,0
26-10-2025,West Bengal,South Twenty Four Parganas,700061,0,1,0
26-10-2025,West Bengal,South Twenty Four Parganas,700140,0,1,0
26-10-2025,West Bengal,South Twenty Four Parganas,743383,2,1,0
26-10-2025,West Bengal,South Twenty Four Parganas,743503,1,1,0
26-10-2025,West Bengal,Uttar Dinajpur,733130,1,0,0
26-10-2025,West Bengal,Uttar Dinajpur,733213,0,1,0
26-10-2025,West Bengal,Uttar Dinajpur,733215,3,2,0
26-10-2025,West Bengal,West Midnapore,721101,1,0,0
26-10-2025,West Bengal,West Midnapore,721133,3,0,0
26-10-2025,West Bengal,West Midnapore,721457,1,0,0
26-10-2025,Chhattisgarh,Korba,495454,2,0,0
26-10-2025,Chhattisgarh,Koriya,497448,1,0,0
26-10-2025,Chhattisgarh,Mahasamund,493449,2,0,0
26-10-2025,Chhattisgarh,Mahasamund,493558,9,1,0
26-10-2025,Chhattisgarh,Narayanpur,494661,3,2,0
26-10-2025,Chhattisgarh,Raigarh,496661,4,0,0
26-10-2025,Chhattisgarh,Raigarh,496665,1,0,0
26-10-2025,Chhattisgarh,Raipur,492009,1,1,0
26-10-2025,Chhattisgarh,Raipur,492099,2,0,0
26-10-2025,Chhattisgarh,Rajnandgaon,491441,6,0,0
26-10-2025,Chhattisgarh,Rajnandgaon,491445,3,0,0
26-10-2025,Chhattisgarh,Rajnandgaon,491661,1,0,0
26-10-2025,Chhattisgarh,Sukma,494122,0,1,0
26-10-2025,Chhattisgarh,Surajpur,497226,1,1,0
26-10-2025,Chhattisgarh,Surajpur,497229,3,1,0
26-10-2025,Chhattisgarh,Surajpur,497231,3,0,0
26-10-2025,Chhattisgarh,Surguja,497225,1,0,0
26-10-2025,Delhi,East Delhi,110051,2,1,0
26-10-2025,Delhi,North Delhi,110084,6,1,0
26-10-2025,Delhi,North East Delhi,110094,19,12,0
26-10-2025,Delhi,North West Delhi,110056,1,0,0
26-10-2025,Delhi,North West Delhi,110082,2,0,0
26-10-2025,Delhi,South West Delhi,110022,1,0,0
26-10-2025,Delhi,South West Delhi,110061,1,0,1
26-10-2025,Delhi,South West Delhi,110070,2,0,0
26-10-2025,Delhi,South West Delhi,110071,2,1,0
26-10-2025,Delhi,West Delhi,110043,5,2,0
26-10-2025,Delhi,West Delhi,110058,2,0,0
26-10-2025,Delhi,West Delhi,110059,16,3,0
26-10-2025,Delhi,West Delhi,110087,1,0,0
26-10-2025,Goa,North Goa,403505,1,0,0
26-10-2025,Goa,North Goa,403515,1,0,0
26-10-2025,Goa,North Goa,403524,2,0,0
26-10-2025,Goa,North Goa,403527,1,0,0
26-10-2025,Gujarat,Amreli,365560,0,1,0
26-10-2025,Gujarat,Anand,387240,1,0,0
26-10-2025,Gujarat,Anand,388180,1,0,0
26-10-2025,Gujarat,Anand,388305,1,0,0
26-10-2025,Gujarat,Arvalli,383250,1,0,0
26-10-2025,Gujarat,Arvalli,383310,0,1,0
26-10-2025,Gujarat,Bharuch,392210,1,0,0
26-10-2025,Gujarat,Bhavnagar,364720,1,0,0
26-10-2025,Gujarat,Botad,382245,1,0,0
26-10-2025,Gujarat,Dahod,389130,0,1,0
26-10-2025,Gujarat,Gir Somnath,362560,0,1,0
26-10-2025,Gujarat,Jamnagar,361005,1,0,0
26-10-2025,Gujarat,Jamnagar,361120,1,0,0
26-10-2025,Gujarat,Jamnagar,361315,1,0,0
26-10-2025,Gujarat,Junagadh,362001,2,0,0
26-10-2025,Gujarat,Kheda,387560,1,0,0
26-10-2025,Gujarat,Kheda,387570,1,0,0
26-10-2025,Gujarat,Mahesana,382715,1,0,0
26-10-2025,Gujarat,Mahesana,384315,1,0,0
26-10-2025,Gujarat,Mahesana,384325,1,0,0
26-10-2025,Gujarat,Morbi,363351,1,0,0
26-10-2025,Gujarat,Morbi,363641,1,0,0
26-10-2025,Gujarat,Morbi,363642,0,2,0
26-10-2025,Gujarat,Narmada,391121,0,1,0
26-10-2025,Gujarat,Navsari,396310,1,0,0
26-10-2025,Gujarat,Patan,384285,1,0,0
26-10-2025,Gujarat,Porbandar,360579,1,0,0
26-10-2025,Gujarat,Rajkot,360022,0,1,0
26-10-2025,Gujarat,Rajkot,360025,1,0,0
26-10-2025,Gujarat,Surat,394120,1,0,0
26-10-2025,Gujarat,Surat,394130,1,1,0
26-10-2025,Gujarat,Surat,394240,1,0,0
26-10-2025,Gujarat,Surat,395004,1,2,0
26-10-2025,Gujarat,Surat,395005,1,1,0
26-10-2025,Gujarat,Surat,395006,3,2,0
26-10-2025,Gujarat,Surendra Nagar,363001,1,0,0
26-10-2025,Gujarat,Surendra Nagar,363330,1,0,0
26-10-2025,Gujarat,Surendra Nagar,363520,1,0,0
26-10-2025,Gujarat,Surendra Nagar,363530,0,1,0
26-10-2025,Gujarat,Tapi,394340,1,0,0
26-10-2025,Gujarat,Tapi,394380,1,0,0
26-10-2025,Gujarat,Tapi,394635,1,0,0
26-10-2025,Gujarat,Vadodara,390019,3,0,0
26-10-2025,Gujarat,Vadodara,391530,0,1,0
26-10-2025,Gujarat,Vadodara,391770,2,0,0
26-10-2025,Gujarat,Valsad,396007,1,0,0
26-10-2025,Gujarat,Valsad,396050,1,0,0
26-10-2025,Gujarat,Valsad,396051,2,0,0
26-10-2025,Haryana,Ambala,133004,1,0,0
26-10-2025,Haryana,Bhiwani,127021,4,1,0
26-10-2025,Haryana,Bhiwani,127031,1,0,0
26-10-2025,Haryana,Bhiwani,127041,2,0,0
26-10-2025,Haryana,Bhiwani,127309,1,0,0
26-10-2025,Haryana,Faridabad,121004,15,3,0
26-10-2025,Haryana,Faridabad,121005,2,0,0
26-10-2025,Haryana,Fatehabad,125050,3,1,0
26-10-2025,Haryana,Fatehabad,125111,4,0,0
26-10-2025,Haryana,Fatehabad,125120,5,0,0
26-10-2025,Haryana,Gurgaon,122001,11,4,0
26-10-2025,Haryana,Hisar,125044,2,1,0
26-10-2025,Haryana,Hisar,125047,1,0,0
26-10-2025,Haryana,Hisar,125121,2,1,0
26-10-2025,Haryana,Jhajjar,124507,4,1,0
26-10-2025,Haryana,Jind,126125,4,0,0
26-10-2025,Haryana,Kurukshetra,136038,1,0,0
26-10-2025,Haryana,Mahendragarh,123027,3,0,0
26-10-2025,Haryana,Mahendragarh,123028,2,0,0
26-10-2025,Haryana,Mewat,122103,7,0,0
26-10-2025,Haryana,Mewat,122104,8,1,0
26-10-2025,Haryana,Panchkula,134118,3,0,0
26-10-2025,Haryana,Panipat,132105,1,0,0
26-10-2025,Haryana,Panipat,132108,1,0,0
26-10-2025,Haryana,Rewari,123303,3,0,0
26-10-2025,Haryana,Rohtak,124111,1,0,0
26-10-2025,Haryana,Rohtak,124201,1,0,0
26-10-2025,Haryana,Rohtak,124501,2,0,0
26-10-2025,Haryana,Sirsa,125110,2,0,0
26-10-2025,Haryana,Sonipat,131001,3,1,0
26-10-2025,Haryana,Sonipat,131022,1,0,0
26-10-2025,Haryana,Sonipat,131023,1,0,0
26-10-2025,Haryana,Sonipat,131027,2,1,0
26-10-2025,Haryana,Sonipat,131102,1,0,0
26-10-2025,Haryana,Sonipat,131301,7,0,0
26-10-2025,Himachal Pradesh,Bilaspur,174012,2,0,0
26-10-2025,Himachal Pradesh,Bilaspur,174028,0,1,0
26-10-2025,Himachal Pradesh,Bilaspur,174030,2,0,0
26-10-2025,Himachal Pradesh,Bilaspur,174031,1,0,0
26-10-2025,Himachal Pradesh,Hamirpur,174309,1,0,0
26-10-2025,Himachal Pradesh,Hamirpur,176048,1,0,0
26-10-2025,Himachal Pradesh,Hamirpur,177006,1,0,0
26-10-2025,Himachal Pradesh,Kangra,176027,1,0,0
26-10-2025,Himachal Pradesh,Kangra,176055,1,0,0
26-10-2025,Himachal Pradesh,Kangra,176064,1,0,0
26-10-2025,Himachal Pradesh,Kangra,177114,1,0,0
26-10-2025,Himachal Pradesh,Mandi,175030,1,0,0
26-10-2025,Himachal Pradesh,Mandi,175035,1,0,0
26-10-2025,Himachal Pradesh,Mandi,175121,2,0,0
26-10-2025,Himachal Pradesh,Shimla,171012,1,0,0
26-10-2025,Himachal Pradesh,Shimla,172022,1,0,0
26-10-2025,Himachal Pradesh,Sirmaur,173001,2,0,0
26-10-2025,Himachal Pradesh,Sirmaur,173020,1,0,0
26-10-2025,Himachal Pradesh,Solan,173211,0,1,0
26-10-2025,Himachal Pradesh,Una,174303,1,0,0
26-10-2025,Himachal Pradesh,Una,174317,1,0,0
26-10-2025,Jammu and Kashmir,Anantnag,192210,1,0,0
26-10-2025,Jammu and Kashmir,Budgam,193411,1,0,0
26-10-2025,Jammu and Kashmir,Doda,182146,1,1,0
26-10-2025,Jammu and Kashmir,Ganderbal,191202,1,0,0
26-10-2025,Jammu and Kashmir,Jammu,180002,2,1,0
26-10-2025,Jammu and Kashmir,Jammu,181102,4,0,0
26-10-2025,Jammu and Kashmir,Jammu,181132,1,0,0
26-10-2025,Jammu and Kashmir,Jammu,181141,1,0,0
26-10-2025,Jammu and Kashmir,Jammu,181205,1,0,0
26-10-2025,Jammu and Kashmir,Kathua,184142,2,0,0
26-10-2025,Jammu and Kashmir,Kathua,184148,0,1,0
26-10-2025,Jammu and Kashmir,Kathua,184152,2,0,0
26-10-2025,Jammu and Kashmir,Kishtwar,182203,1,0,0
26-10-2025,Jammu and Kashmir,Kupwara,193224,4,2,0
26-10-2025,Jammu and Kashmir,Leh,194401,1,1,0
26-10-2025,Jammu and Kashmir,Pulwama,192306,1,0,0
26-10-2025,Jammu and Kashmir,Rajouri,185233,1,0,0
26-10-2025,Jammu and Kashmir,Ramban,182148,2,1,0
26-10-2025,Jammu and Kashmir,Reasi,182315,1,2,0
26-10-2025,Jammu and Kashmir,Reasi,185203,1,0,0
26-10-2025,Jammu and Kashmir,Samba,184121,2,0,0
26-10-2025,Jammu and Kashmir,Srinagar,190006,3,0,0
26-10-2025,Jammu and Kashmir,Srinagar,190023,1,1,0
26-10-2025,Jammu and Kashmir,Srinagar,191101,1,0,0
26-10-2025,Jammu and Kashmir,Udhampur,182311,1,0,0
26-10-2025,Jharkhand,Bokaro,827010,2,4,0
26-10-2025,Jharkhand,Bokaro,828134,0,1,0
26-10-2025,Jharkhand,Bokaro,829107,1,2,0
26-10-2025,Jharkhand,Bokaro,829116,1,1,0
26-10-2025,Jharkhand,Bokaro,829301,1,1,0
26-10-2025,Jharkhand,Chatra,825408,1,3,0
26-10-2025,Jharkhand,Deoghar,814120,1,3,0
26-10-2025,Jharkhand,Deoghar,815351,2,0,0
26-10-2025,Jharkhand,Dhanbad,828104,1,1,0
26-10-2025,Jharkhand,Dhanbad,828113,2,0,0
26-10-2025,Jharkhand,Dhanbad,828204,1,1,0
26-10-2025,Jharkhand,Dhanbad,828205,8,1,0
26-10-2025,Jharkhand,Dhanbad,828306,1,2,0
26-10-2025,Jharkhand,Dumka,814119,4,1,0
26-10-2025,Jharkhand,Dumka,816118,2,1,0
26-10-2025,Jharkhand,East Singhbhum,831001,2,0,0
26-10-2025,Jharkhand,East Singhbhum,831015,1,0,0
26-10-2025,Jharkhand,East Singhbhum,832102,0,1,0
26-10-2025,Jharkhand,East Singhbhum,832110,3,1,0
26-10-2025,Jharkhand,East Singhbhum,832303,2,0,0
26-10-2025,Jharkhand,Giridih,815314,3,1,0
26-10-2025,Jharkhand,Giridih,815316,3,3,0
26-10-2025,Jharkhand,Giridih,825108,6,2,0
26-10-2025,Jharkhand,Giridih,825167,4,5,0
26-10-2025,Jharkhand,Godda,814133,4,3,0
26-10-2025,Jharkhand,Gumla,835207,1,1,0
26-10-2025,Jharkhand,Gumla,835220,2,3,0
26-10-2025,Jharkhand,Gumla,835227,1,0,0
26-10-2025,Jharkhand,Gumla,835229,1,0,0
26-10-2025,Jharkhand,Hazaribag,825301,1,0,0
26-10-2025,Jharkhand,Hazaribagh,825301,2,5,0
26-10-2025,Jharkhand,Hazaribagh,825336,1,0,0
26-10-2025,Jharkhand,Jamtara,815354,4,3,0
26-10-2025,Jharkhand,Khunti,835210,1,2,0
26-10-2025,Jharkhand,Khunti,835234,1,0,0
26-10-2025,Jharkhand,Kodarma,825409,1,1,0
26-10-2025,Jharkhand,Koderma,825109,2,2,0
26-10-2025,Jharkhand,Latehar,829206,1,1,0
26-10-2025,Jharkhand,Lohardaga,835325,1,0,0
26-10-2025,Jharkhand,Palamu,822101,1,0,0
26-10-2025,Jharkhand,Palamu,822111,0,2,0
26-10-2025,Jharkhand,Palamu,822113,5,0,0
26-10-2025,Jharkhand,Purbi Singhbhum,832110,3,1,0
26-10-2025,Jharkhand,Ramgarh,829105,1,0,0
26-10-2025,Jharkhand,Ramgarh,829119,0,1,0
26-10-2025,Jharkhand,Ranchi,834008,0,0,1
26-10-2025,Jharkhand,Ranchi,835101,0,1,0
26-10-2025,Jharkhand,Ranchi,835222,5,0,0
26-10-2025,Jharkhand,Ranchi,835325,1,0,0
26-10-2025,Jharkhand,Sahebganj,816101,9,4,0
26-10-2025,Jharkhand,Seraikela-Kharsawan,832108,2,0,0
26-10-2025,Jharkhand,Seraikela-Kharsawan,832401,2,0,0
26-10-2025,Jharkhand,Seraikela-kharsawan,831013,1,0,0
26-10-2025,Jharkhand,Seraikela-kharsawan,832404,1,0,0
26-10-2025,Jharkhand,Seraikela-kharsawan,833219,0,1,0
26-10-2025,Jharkhand,West Singhbhum,832108,1,0,0
26-10-2025,Jharkhand,West Singhbhum,833203,1,1,0
26-10-2025,Karnataka,Bagalkot,587116,5,0,0
26-10-2025,Karnataka,Bagalkot,587201,2,0,0
26-10-2025,Karnataka,Bagalkot,587204,2,0,0
26-10-2025,Karnataka,Bagalkot,587301,5,0,0
26-10-2025,Karnataka,Bagalkot *,587301,1,0,0
26-10-2025,Karnataka,Ballari,583219,1,0,0
26-10-2025,Karnataka,Bangalore,560001,1,0,0
26-10-2025,Karnataka,Bangalore,560020,1,0,0
26-10-2025,Karnataka,Bangalore,560022,1,0,0
26-10-2025,Karnataka,Bangalore,560026,2,0,0
26-10-2025,Karnataka,Bangalore,560050,2,0,0
26-10-2025,Karnataka,Bangalore,560062,1,1,0
26-10-2025,Karnataka,Bangalore,560105,2,0,0
26-10-2025,Karnataka,Bangalore,562123,0,1,0
26-10-2025,Karnataka,Bangalore,562125,1,0,0
26-10-2025,Karnataka,Bangalore Rural,560087,0,0,3
26-10-2025,Karnataka,Bangalore Rural,561203,5,1,0
26-10-2025,Karnataka,Bangalore Rural,562132,1,0,0
26-10-2025,Karnataka,Belagavi,590009,1,0,0
26-10-2025,Karnataka,Belagavi,591117,3,0,0
26-10-2025,Karnataka,Belagavi,591123,2,0,0
26-10-2025,Karnataka,Belagavi,591127,1,0,0
26-10-2025,Karnataka,Belagavi,591217,2,0,0
26-10-2025,Karnataka,Belagavi,591221,1,0,0
26-10-2025,Karnataka,Belagavi,591301,1,0,0
26-10-2025,Karnataka,Belagavi,591310,1,0,0
26-10-2025,Karnataka,Belgaum,590006,1,0,0
26-10-2025,Karnataka,Belgaum,591107,1,0,0
26-10-2025,Karnataka,Belgaum,591213,1,0,0
26-10-2025,Karnataka,Belgaum,591237,1,0,0
26-10-2025,Karnataka,Belgaum,591238,2,0,0
26-10-2025,Karnataka,Belgaum,591243,1,0,0
26-10-2025,Karnataka,Bellary,583211,1,0,0
26-10-2025,Karnataka,Bellary,583239,2,0,0
26-10-2025,Karnataka,Bengaluru,560001,1,0,0
26-10-2025,Karnataka,Bengaluru,560011,1,0,0
26-10-2025,Karnataka,Bengaluru,560020,1,0,0
26-10-2025,Karnataka,Bengaluru,560022,1,1,0
26-10-2025,Karnataka,Bengaluru,560029,2,1,0
26-10-2025,Karnataka,Bengaluru,560032,2,1,2
26-10-2025,Karnataka,Bengaluru,560035,1,0,1
26-10-2025,Karnataka,Bengaluru,560047,1,0,0
26-10-2025,Karnataka,Bengaluru,560049,2,2,1
26-10-2025,Karnataka,Bengaluru,560051,2,0,0
26-10-2025,Karnataka,Bengaluru,560064,3,1,0
26-10-2025,Karnataka,Bengaluru,560070,1,1,0
26-10-2025,Karnataka,Bengaluru,560075,1,0,0
26-10-2025,Karnataka,Bengaluru,560076,0,0,1
26-10-2025,Karnataka,Bengaluru,560087,2,3,1
26-10-2025,Karnataka,Bengaluru,560088,3,0,0
26-10-2025,Karnataka,Bengaluru,560099,1,1,1
26-10-2025,Karnataka,Bidar,585328,2,0,0
26-10-2025,Karnataka,Bidar,585331,1,0,0
26-10-2025,Karnataka,Bidar,585401,3,1,0
26-10-2025,Karnataka,Bijapur,586124,0,1,0
26-10-2025,Karnataka,Bijapur,586204,3,0,0
26-10-2025,Karnataka,Chamrajanagar,571126,1,0,0
26-10-2025,Karnataka,Chamrajanagar,571128,1,0,0
26-10-2025,Karnataka,Chamrajanagar,571444,9,1,0
26-10-2025,Karnataka,Chamrajnagar,571123,1,0,0
26-10-2025,Karnataka,Chickmagalur,577111,1,0,0
26-10-2025,Karnataka,Chikkaballapur,561207,4,1,0
26-10-2025,Karnataka,Chikkaballapur,563125,1,0,0
26-10-2025,Karnataka,Chikkamagaluru,577131,1,0,0
26-10-2025,Karnataka,Chikkamagaluru,577549,1,0,0
26-10-2025,Karnataka,Chitradurga,577536,0,2,0
26-10-2025,Karnataka,Dakshina Kannada,574146,1,0,0
26-10-2025,Karnataka,Dakshina Kannada,574217,4,0,0
26-10-2025,Karnataka,Dakshina Kannada,574231,4,1,0
26-10-2025,Karnataka,Dakshina Kannada,574243,0,1,0
26-10-2025,Karnataka,Dakshina Kannada,574265,2,0,0
26-10-2025,Karnataka,Davanagere,577553,1,0,0
26-10-2025,Karnataka,Davangere,577215,4,0,0
26-10-2025,Karnataka,Davangere,577221,1,0,0
26-10-2025,Karnataka,Davangere,577225,1,0,0
26-10-2025,Karnataka,Davangere,577530,1,0,0
26-10-2025,Karnataka,Davangere,577553,4,0,0
26-10-2025,Karnataka,Dharwad,580004,1,0,0
26-10-2025,Karnataka,Dharwad,580007,2,0,0
26-10-2025,Karnataka,Dharwad,580021,0,1,0
26-10-2025,Karnataka,Dharwad,580023,4,1,0
26-10-2025,Karnataka,Dharwad,580031,1,0,0
26-10-2025,Karnataka,Dharwad,581103,1,0,0
26-10-2025,Karnataka,Gulbarga,585211,1,1,0
26-10-2025,Karnataka,Gulbarga,585217,2,0,0
26-10-2025,Karnataka,Gulbarga,585222,1,1,0
26-10-2025,Karnataka,Gulbarga,585314,1,0,0
26-10-2025,Karnataka,Gulbarga,585317,1,0,0
26-10-2025,Karnataka,Gulbarga,585322,2,0,0
26-10-2025,Karnataka,Hassan,573102,1,0,0
26-10-2025,Karnataka,Hassan,573103,1,0,0
26-10-2025,Karnataka,Hassan,573116,3,1,0
26-10-2025,Karnataka,Hassan,573122,2,0,0
26-10-2025,Karnataka,Hassan,573137,1,0,0
26-10-2025,Karnataka,Hassan,573201,4,0,0
26-10-2025,Karnataka,Haveri,581102,3,0,0
26-10-2025,Karnataka,Haveri,581104,4,0,0
26-10-2025,Karnataka,Haveri,581108,1,0,0
26-10-2025,Karnataka,Haveri,581118,2,0,0
26-10-2025,Karnataka,Haveri,581148,3,0,0
26-10-2025,Karnataka,Haveri,581212,1,0,0
26-10-2025,Karnataka,Kalaburagi,585104,5,1,0
26-10-2025,Karnataka,Kalaburagi,585211,1,0,0
26-10-2025,Karnataka,Kalaburagi,585217,1,0,0
26-10-2025,Karnataka,Kalaburagi,585228,1,0,0
26-10-2025,Karnataka,Kalaburagi,585303,0,1,0
26-10-2025,Karnataka,Kalaburagi,585310,1,3,0
26-10-2025,Karnataka,Kalaburagi,585320,1,0,0
